"Month","Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Positive.Alcohol.Tests","Positive.Drug.Tests","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Hours.Engineers.On.Duty","Hours.Conductors.On.Duty","Minutes.Engineers.On.Duty","Minutes.Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","Equipment.Damage.Cost","Track.Damage.Cost","Total.Damage.Cost","summed_cost","Postive.DA.Tests"
"04",2016,"15",80,"Day","Clear","Main","1",2.67,"South",5,"Estimated",5,0,"Not Signaled","Yard/Restricted Limits",0,0,"No",0,2,0,0,0,0,30,0,0,0,0,1,0,1,1,7,7,45,45,29.989019,-94.908544,"2","CL","Class 1","SMT-5 - BNSF",6035,0,157727,6035,"No"
"04",2016,"2",70,"Dark","Rain","Main","3",22.9,"North",20,"Recorded",20,4430,"Signaled","Signal Indication",0,0,"No",0,1,0,0,0,1,60,0,0,0,0,1,0,0,1,4,4,50,50,31.707207,-95.69291,"3","CL","Class 1","SMT-6 - UP/KCS",34771,691200,725971,725971,"No"
"01",2019,"5",40,"Dawn","Clear","Yard","1",4,"East",10,"Recorded",10,2016,"Signaled","Other Than Main Track",0,0,"No",0,3,0,0,0,0,0,0,28,0,0,1,0,0,1,9,9,5,5,33.972536,-81.001444,"1","CL","Class 1","SMT-3 - Norfolk Southern",53717,2919,56636,56636,"No"
"01",2018,"18",44,"Dark","Clear","Siding","1",120,"East",5,"Estimated",5,3250,"Not Signaled","Other Than Main Track",0,0,"No",0,2,2,0,0,0,31,0,0,0,0,1,0,0,1,6,6,45,45,34.71827,-81.01258,"1","Cl","Class 3","SMT-2 - Short Line East",3480,13550,17030,17030,"No"
"05",2015,"2",65,"Dark","Cloudy","Main","4",8,"South",37,"Recorded",37,8090,"Not Signaled","Direct Train Control",0,0,"No",0,2,0,0,0,0,60,0,0,0,0,1,0,0,1,9,9,8,8,28.999669,-98.478719,"4","CL","Class 1","SMT-6 - UP/KCS",1437445,38460,1475905,1475905,"No"
"08",2020,"18",94,"Dusk","Clear","Main","4",109.9,"East",47,"Estimated",47,10318,"Signaled","Signal Indication",0,0,"No",10,4,0,0,0,0,56,0,97,0,0,1,0,0,1,1,1,56,53,41.096287,-100.584365,"4","CL","Class 1","SMT-6 - UP/KCS",1217419,1622948,2840367,2840367,"No"
"05",2014,"3",55,"Dark","Clear","Yard","1",10,"East",5,"Recorded",5,0,"Not Signaled","Other Than Main Track",0,0,"No",0,4,0,0,0,0,0,0,36,0,0,1,1,0,1,4,4,45,45,39.949173,-75.10064,"1","Cl","Class 3","SMT-2 - Short Line East",13887,1200,15087,15087,"No"
"04",2014,"21",34,"Dark","Clear","Main","4",4.5,"West",40,"Recorded",40,3225,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,21,0,20,0,0,1,0,1,1,3,3,33,33,40.75445,-73.359843,"4","Cl","Class 3","SMT-2 - Short Line East",400,0,16119,400,"No"
"09",2018,"23",38,"Dark","Clear","Main","4",61.9,"West",37,"Recorded",37,17539,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,1,123,0,0,0,0,1,0,0,1,2,2,27,27,45.63948,-109.2644,"4","Cl","Class 2","SMT-8 - Short Line West",2500000,275000,2775000,2775000,"No"
"08",2021,"17",93,"Day","Clear","Main","4",77.4,"West",49,"Recorded",49,2561,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,1,0,0,123,0,0,1,0,0,1,4,4,5,5,40.449772,-98.148771,"4","CL","Class 1","SMT-6 - UP/KCS",905344,218801,1124145,1124145,"No"
