"Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","summed_cost","Postive.DA.Tests","Working.Over.8","Season"
2015,"18",95,"Day","Clear","Main","4",61.5,"South",49,"Recorded",49,8121,"Signaled","Signal Indication","No",5,3,0,0,0,1,64,0,11,0,0,1,1,0,1,31.074688,-96.701861,"4","CL","Class 1","SMT-6 - UP/KCS",483898,"No","No","Summer"
2018,"9",94,"Day","Un-Clear","Yard","X",3.09,"West",3,"Estimated",3,2750,"Not Signaled","Other Than Main Track","No",0,2,0,0,0,0,0,0,110,0,0,1,0,0,1,29.182359,-94.480326,"X","Cl","Class 3","SMT-2 - Short Line East",16316,"No","No","Summer"
2014,"6",21,"Dark","Clear","Main","2",45,"East",8,"Recorded",8,19265,"Not Signaled","Yard/Restricted Limits","No",0,2,0,0,0,2,135,0,0,0,0,1,0,0,1,35.115945,-89.990493,"2","CL","Class 1","SMT-5 - BNSF",214050,"No","No","Fall"
2012,"3",49,"Dark","Clear","Main","3",33.5,"North",35,"Recorded",35,9541,"Signaled","Signal Indication","No",14,3,0,0,0,0,76,0,17,0,0,1,0,0,1,34.171898,-82.398962,"3","CL","Class 1","SMT-9 - CSX",1410079,"No","No","Winter"
2020,"4",45,"Dark","Un-Clear","Main","X",11.9,"West",8,"Recorded",8,4060,"Not Signaled","Direct Train Control","No",0,2,0,0,0,0,34,0,0,0,0,1,0,0,2,34.36845,-80.059716,"X","Cl","Class 3","SMT-2 - Short Line East",232226,"No","No","Winter"
2012,"5",60,"Dark","Clear","Main","4",20.72,"North",1,"Estimated",1,4071,"Signaled","Signal Indication","No",0,3,0,0,0,0,18,0,55,0,0,1,0,1,1,34.875138,-96.591577,"4","CL","Class 1","SMT-5 - BNSF",30500,"No","No","Spring"
2021,"5",50,"Dark","Un-Clear","Main","2",69.196,"North",3,"Recorded",3,8218,"Not Signaled","Yard/Restricted Limits","No",32,4,0,0,0,0,56,0,40,0,0,1,0,0,1,39.537019,-83.445725,"2","Cl","Class 3","SMT-2 - Short Line East",167201,"No","Yes","Fall"
2021,"23",63,"Dark","Un-Clear","Yard","1",5,"West",4,"Estimated",4,0,"Not Signaled","Other Than Main Track","No",0,1,0,0,0,0,7,0,1,0,0,1,0,0,1,40.818929,-81.313846,"1","CL","Class 1","SMT-3 - Norfolk Southern",5000,"No","No","Fall"
2014,"17",20,"Dark","Clear","Siding","X",0.01,"South",3,"Estimated",3,0,"Not Signaled","Other Than Main Track","No",0,1,0,0,0,0,19,0,1,0,0,1,0,0,1,41.40257,-79.8289,"X","Cl","Class 3","SMT-2 - Short Line East",15644,"No","No","Fall"
2017,"10",70,"Day","Clear","Yard","1",16,"West",0,"Estimated",0,11454,"Not Signaled","Other Than Main Track","No",0,2,0,0,0,0,87,0,45,0,0,1,0,0,1,39.264114,-84.420348,"1","CL","Class 1","SMT-3 - Norfolk Southern",11030,"No","Yes","Summer"
2022,"2",40,"Dark","Clear","Main","4",96,"West",44,"Recorded",44,398,"Signaled","Signal Indication","No",1,2,0,0,0,0,30,0,94,0,0,1,0,0,1,42.948195,-74.287034,"4","CL","Class 1","SMT-9 - CSX",29264,"No","No","Winter"
2012,"2",50,"Dark","Clear","Main","3",17.2,"East",15,"Estimated",15,7760,"Signaled","Signal Indication","No",3,3,0,0,0,0,41,0,79,0,0,1,0,0,1,41.25196,-95.874078,"3","CL","Class 1","SMT-6 - UP/KCS",454968,"No","No","Summer"
